word,x1,y1,x2,y2
کشور,892,62,945,91
به,867,68,888,89
تصویب,796,66,862,91
رسید,740,68,791,91
و,721,72,735,91
قرار,680,62,716,91
شد,643,65,676,84
که,612,63,639,84
پنج,571,68,607,92
ساله,524,62,567,84
اجرایی,456,62,519,92
شود،,404,65,451,91
عنوان,345,62,400,91
کرد:,299,62,341,91
متاسفانه,216,62,294,84
بنا,187,62,211,89
به,161,68,182,89
دلایلی,96,62,157,92
این,58,62,91,91
طرح,900,123,944,152
طی,859,123,895,152
پنج,817,129,853,152
سال,771,123,813,151
گذشته,702,122,767,145
تنها,659,123,697,151
20,623,123,650,145
درصد,563,128,618,152
پیشرفت,482,123,558,152
داشته,422,123,477,145
است.,367,123,416,145
هادی,309,123,362,150
چگنی,246,122,304,152
متذکرشد:,149,123,241,152
باتوجه,84,123,144,152
به,59,128,80,150
اینکه,896,183,944,210
درحال,829,184,891,212
حاضر,770,183,824,212
30,734,184,761,206
درصد,675,189,730,212
دعاوی,610,184,670,212
مطرح,549,183,604,213
شده,502,186,544,205
در,472,189,498,212
محاکم,406,183,468,213
قضایی,341,184,401,213
مربوط,277,183,335,212
به,251,189,272,210
اراضی,190,183,246,213
و,170,193,184,212
متعلقات,90,183,167,206
آن,58,181,85,212
است،,894,244,944,266
بنابراین,822,244,891,273
اجرای,761,244,818,273
این,724,244,757,273
طرح,677,244,722,274
می‌تواند,602,244,674,273
به,577,250,598,271
کاهش,513,244,575,273
دعاوی,450,244,511,273
و,433,253,447,273
جلوگیری,343,244,430,273
از,322,244,340,273
زمین,270,250,319,273
خواری,204,244,267,273
و,187,253,201,273
مدیریت,112,249,184,273
زمین,59,250,108,273
در,919,311,945,333
کشور,864,305,918,333
کمک,809,305,863,327
کند.,764,305,807,327
وی,729,312,761,333
با,710,305,725,332
بیان,667,305,708,333
اینکه,616,304,664,331
اجرای,555,305,613,333
طرح,507,304,552,334
کاداستر,432,305,505,333
باید,393,305,430,332
در,365,310,391,333
دو,338,310,363,333
بخش,283,306,335,333
تهیه,237,308,280,333
نقشه,187,307,235,326
و,170,314,184,333
تثبیت,109,308,168,332
انجام,58,305,106,334
گیرد،,893,365,945,394
عنوان,835,365,890,394
کرد:,791,365,834,394
در,763,371,788,394
بخش,709,367,761,394
تهیه,664,369,706,394
نقشه,613,367,661,387
حدود,557,371,611,394
162,512,366,552,388
میلیون,443,365,508,394
هکتار,386,365,440,394
زمین,334,371,384,394
در,306,371,331,394
کشور,252,365,305,394
داریم,200,365,250,394
که,170,365,198,387
از,149,365,167,394
این,114,365,147,394
میزان,58,365,112,394
139,902,427,942,449
میلیون,829,426,894,455
هکتار,770,426,825,455
مربوط,707,426,766,455
به,682,432,703,453
منابع,627,426,677,456
ملی,584,426,623,456
و,565,436,579,455
طبیعی,496,426,561,456
و,477,436,491,455
یک,438,426,473,453
میلیون,368,426,433,455
هکتار,309,426,363,455
رودخانه,232,426,305,455
و,214,436,228,455
دریا,172,426,210,455
و,152,436,167,455
حریم,97,434,148,456
آنها,59,423,93,455
است.,895,487,944,509
طبق,847,487,892,516
قانون,794,487,844,516
کاداستر,718,486,792,515
اراضی,660,486,716,516
که,630,487,657,509
در,602,493,627,515
مالکیت,532,487,600,514
دولت,477,487,528,515
قرار,438,486,475,515
دارد،,390,486,436,515
تهیه,344,491,387,515
نقشه,294,489,342,509
آن,264,484,292,516
باید,225,487,261,514
توسط,166,487,222,515
دستگاه‌های,59,486,163,514
اجرایی,882,547,944,577
انجام,829,547,876,577
شود.,777,549,823,576
معاون,717,547,773,576
ثبت,670,549,711,574
اسناد,615,547,666,569
کشور,557,547,611,576
عنوان,499,547,553,576
کرد:,452,547,494,576
حدود,393,553,447,576
2,356,548,372,570
میلیون,287,547,352,576
هکتار,227,547,282,576
می‌ماند,157,547,223,577
که,125,547,152,569
ما,99,547,119,569
باید,58,547,94,574
نقشه,897,610,944,630
آن,865,605,892,637
را,843,608,861,637
تهیه,796,612,838,636
کنیم,744,608,792,637
که,712,608,740,630
این,675,607,708,637
کار,639,608,671,637
را,617,608,635,637
به,593,613,613,635
دو,563,614,588,636
شکل,510,608,559,636
می,474,617,505,637
توان,428,607,469,637
انجام,376,607,423,637
داد،,335,608,371,630
یا,313,608,330,635
اینکه,260,608,309,635
برون,210,615,255,637
سپاری,143,608,206,637
شود,97,610,138,636
و,79,617,93,636
یا,58,608,75,635
آنکه,904,665,945,690
خودمان,827,668,900,697
آن,796,666,823,697
را,776,668,794,697
انجام,725,668,773,698
دهیم.,666,674,722,697
باتوجه,603,668,663,697
به,579,674,600,695
اینکه,527,668,576,695
تعداد,474,668,524,690
افراد,429,668,470,697
نقشه,377,670,425,690
بردار,329,668,374,697
در,301,674,327,697
واحدهای,215,668,299,697
ثبتی,165,670,211,698
زیاد,124,668,162,697
نیست،,59,672,121,695
برای,902,729,945,758
همین,839,736,895,758
بدنبال,773,729,832,758
برون,720,736,766,758
سپاری,651,729,714,759
تهیه,602,733,644,758
نقشه,547,732,594,751
کاداستر,466,729,540,758
هستیم,395,734,461,759
و,374,739,388,758
اکنون,313,729,368,758
هم,276,736,306,759
در,243,735,269,758
چهاراستان,140,729,237,758
اصفهان،,58,729,133,758
آذربایجان,856,787,945,819
شرقی،,791,791,853,819
کردستان,703,790,788,819
و,686,799,700,819
فارس,630,790,684,819
بصورت,560,795,627,819
