word,x1,y1,x2,y2
,889,62,944,91
,816,63,884,92
,749,62,812,92
,731,72,745,91
,647,62,728,92
,553,62,643,91
,469,62,549,91
,439,68,464,91
,391,62,436,84
,371,62,387,89
,319,62,367,91
,294,68,314,89
,229,67,290,91
,184,62,226,91
,126,62,180,92
,58,69,122,91
,895,129,944,152
,868,132,888,152
,825,123,863,152
,776,122,830,152
,702,123,769,152
,632,123,695,152
,550,123,625,152
,490,123,543,152
,440,123,483,152
,374,123,435,152
,302,123,368,152
,249,123,297,152
,181,127,243,152
,133,123,175,152
,111,123,127,150
,58,122,105,152
,877,181,944,213
,797,183,873,212
,739,183,793,213
,710,189,735,212
,652,183,707,212
,568,183,649,212
,502,183,564,212
,466,184,493,206
,455,185,466,206
,401,185,449,206
,376,189,397,210
,305,183,372,212
,249,183,301,212
,182,184,246,213
,122,183,179,212
,59,183,118,212
,907,246,944,266
,848,246,903,273
,796,244,843,273
,740,244,792,273
,711,250,735,273
,633,244,707,273
,592,244,629,273
,539,244,589,273
,507,244,535,266
,437,244,503,273
,386,244,434,273
,341,250,382,274
,277,252,337,273
,253,250,273,271
,198,244,250,273
,155,247,194,273
,112,244,151,266
,95,253,108,273
,58,244,91,273
,900,305,944,334
,879,304,897,333
,830,310,877,334
,776,310,827,333
,733,304,773,333
,703,305,731,326
,684,305,700,332
,616,305,674,333
,503,304,612,333
,459,305,500,332
,369,305,455,334
,289,305,365,333
,213,308,286,333
,157,309,209,333
,94,305,155,333
,59,304,92,333
,879,365,945,394
,819,365,875,387
,757,365,815,392
,728,371,753,394
,673,365,725,392
,636,371,669,394
,569,365,634,387
,533,365,564,388
,499,367,530,394
,475,371,496,392
,424,373,471,395
,353,365,420,394
,277,365,350,395
,209,370,274,394
,180,371,205,394
,125,365,177,394
,59,365,123,395
,889,426,945,455
,832,426,883,448
,793,428,826,448
,774,436,788,455
,721,434,768,456
,666,426,715,455
,607,430,660,453
,536,431,601,455
,512,426,530,455
,447,426,507,454
,390,428,441,456
,317,426,384,455
,247,426,311,455
,220,432,241,453
,199,427,210,448
,155,427,182,449
,119,428,150,455
,58,432,114,455
,864,493,945,516
,835,493,860,515
,801,487,831,509
,740,487,798,509
,672,486,737,509
,636,487,667,509
,589,493,634,515
,538,487,586,515
,482,490,535,514
,410,487,479,516
,378,490,407,515
,350,493,375,515
,292,487,347,516
,863,559,944,589
,828,561,860,581
,811,569,825,588
,762,567,810,589
,710,559,760,588
,640,559,708,589
,583,563,637,586
,556,565,581,588
,499,559,555,588
,476,565,497,586
,445,560,472,582
,399,559,440,588
,383,569,397,588
,336,560,380,582
,304,561,335,588
,246,565,302,588
,214,566,244,588
,156,559,211,588
,107,560,152,582
,57,559,105,588
,885,620,944,649
,859,626,880,647
,807,620,855,649
,777,626,802,649
,721,620,773,649
,654,621,718,650
,593,620,649,649
,524,625,588,649
,454,625,519,642
,422,620,450,642
,346,620,417,649
,290,620,340,642
,222,620,286,649
,167,620,217,643
,112,620,162,642
,58,620,107,649
,902,681,945,710
,875,687,900,710
,847,681,873,710
,806,681,846,708
,749,681,805,710
,726,687,747,708
,658,690,724,710
,609,681,657,710
,576,687,607,710
,549,687,574,710
,515,681,546,703
,456,681,514,703
,389,680,454,703
,361,687,387,710
,305,681,360,710
,256,683,303,703
,223,683,253,710
,190,690,221,710
,143,681,187,708
,127,690,141,710
,59,687,125,710
,903,741,944,770
,824,741,900,770
,796,747,821,770
,767,741,794,770
,725,741,765,768
,702,747,723,768
