word,x1,y1,x2,y2
هزار,902,63,944,91
میلیارد,840,63,898,90
ریال,793,62,835,90
تسهیلات,708,63,789,90
به,685,69,703,90
این,649,63,681,92
مجموعه,570,69,645,91
پرداخت,491,63,566,92
شده,447,65,486,84
است.,391,63,442,85
رحیمی,321,71,387,92
بیان,282,63,317,90
کرد:,233,61,279,91
کل,194,61,229,92
سرمایه,129,63,190,91
گذاری,59,58,126,89
انجام,898,132,945,164
شده,856,133,895,152
در,826,137,853,158
این,793,132,825,160
مجموعه,716,137,790,159
تعاونی,653,132,713,160
که,622,129,651,152
به,601,137,620,159
صورت,531,135,599,159
نمادین,467,132,529,160
افتتاح,413,132,465,164
می,381,140,410,160
شود،,330,133,378,159
140,289,132,323,153
هزار,242,132,285,159
میلیارد,182,131,241,159
ریال,137,131,179,158
است,89,132,135,153
که,59,129,87,152
فرصت,881,200,945,228
اشتغال,820,199,879,223
150,777,200,812,221
نفر,744,200,774,228
در,716,205,742,226
فاز,685,200,714,226
اول,650,199,683,226
و,631,207,647,226
در,602,205,629,226
ناحیه,554,200,601,227
صنعتی,490,204,551,228
شهید,439,201,487,227
همرنگ,364,193,436,228
رضی,310,201,361,228
در,281,206,307,226
قالب,234,198,279,228
این,199,200,231,228
مجموعه,121,205,196,227
تعاونی,59,200,118,228
فراهم,893,268,944,301
آمده,845,265,891,289
است.,792,268,843,290
1,906,348,917,369
پروژه,849,348,901,376
پژوهشی,770,350,845,377
تقاضا,716,348,766,371
محور,658,356,711,376
داریم/,595,348,656,381
این,562,348,593,377
میزان,510,348,558,376
کافی,457,346,506,377
نیست,401,350,453,375
دکتر,350,346,397,376
فرزاد,300,348,348,376
ویسی,243,356,296,377
در,212,354,239,374
نشستی,149,350,210,377
خبری,90,351,146,376
که,59,346,88,369
امروز,893,416,945,444
(19,855,415,890,439
آذر),806,413,851,442
در,776,422,802,442
آستانه,718,413,774,437
هفته,674,416,714,437
پژوهش,599,418,670,445
بر,575,425,596,444
گزار,533,411,580,444
شد،,492,417,531,438
پژوهش,418,418,488,445
و,399,424,414,443
فناوری,331,416,396,442
را,308,416,328,442
اساس,251,416,305,445
توسعه,192,419,248,444
و,172,424,188,442
معیاری,106,416,170,443
برای,59,416,102,444
توسعه,889,487,944,512
یافتگی,823,478,885,513
هر,791,490,818,512
کشور,733,482,790,512
دانست,669,485,731,506
و,650,492,665,511
اظهار,597,483,647,511
کرد:,549,482,595,512
امروزه,487,484,546,512
بر,462,493,483,512
خلاف,406,485,467,507
گذشته,340,479,404,505
میزان,288,485,337,512
اقتدار,233,484,285,511
هر,203,490,230,512
کشور,145,482,202,512
بستگی,81,478,143,513
به,59,490,77,511
میزان,896,553,944,580
تولیدات,819,551,894,580
علمی,766,552,817,581
و,747,560,763,579
پژوهشی,671,554,746,581
است,623,553,669,574
که,593,550,622,574
در,564,558,590,579
آن,535,549,564,576
کشور,476,551,533,580
انجام,429,553,475,586
می,396,561,425,581
گیرد.,342,547,395,580
وی,911,638,944,659
با,894,633,909,660
اشاره,843,633,890,659
به,822,638,840,660
نامگذاری,731,626,819,659
هفته,689,633,728,654
پژوهش,616,635,686,661
امسال,561,632,613,656
به,540,638,559,660
عنوان,485,633,537,660
پژوهش,412,635,483,661
و,394,641,410,659
فناوری,328,633,392,659
در,299,638,326,659
خدمت,234,635,298,655
جهش,174,635,231,661
تولید،,117,631,172,660
گفت:,59,627,116,655
قطعا,904,699,945,722
جهش,846,703,903,729
تولید,797,700,844,729
بدون,747,703,795,728
انجام,699,701,745,734
پژوهش,626,703,696,729
و,608,709,624,727
فناوری,543,701,607,727
امکانپذیر,458,697,541,729
نیست,405,703,457,728
و,387,709,403,727
این,355,701,386,729
بستر,312,706,353,729
در,285,707,311,727
کشور,228,699,285,729
و,211,709,227,727
استان,161,701,210,724
ما,140,701,159,722
با تو,103,701,139,729
جه,79,706,108,726
به,59,706,78,728
حجم,895,777,944,802
قابل,854,769,893,798
توجه,803,772,851,797
تولیدات,726,768,801,797
علمی,672,769,723,798
و,653,777,669,795
پژوهشی,577,771,652,798
کاملا,522,767,575,792
فراهم,469,769,521,803
است.,416,769,466,791
معاون,359,769,412,795
پژوهشی,281,771,356,798
دانشگاه,209,763,278,790
رازی,157,769,206,795
اعلام,106,769,155,802
کرد:,58,767,105,797
براساس,876,837,944,866
معیارهای,791,837,874,864
جهانی,731,838,790,866
رتبه,692,840,729,864
بندی،,636,841,690,864
ایران,589,837,635,865
از نظر پژوهش,461,836,587,866
و,444,845,460,864
تولید,396,836,443,865
علمی,343,837,394,866
در رتبه,277,840,342,864
های,236,837,275,863
14,207,837,233,859
تا,188,837,204,858
16,159,837,185,859
جهانی,98,837,156,866
قرار,57,837,96,865
دارد,904,906,944,932
که,873,903,902,926
جایگاهی,787,899,871,934
افتخار آمیز,692,902,785,933
است،,637,906,690,927
اما,611,906,635,926
متاسفانه,539,906,608,926
از,516,906,536,932
سوی,467,911,515,933
دیگر,415,899,464,933
می,384,914,414,934
بینیم,341,910,381,939
که,311,903,339,926
علیرغم,244,905,308,939
آمار,199,902,242,932
بالای,149,904,198,933
پژوهش,76,907,147,934
و,57,913,73,932
تولید,898,972,944,1001
علمی,844,974,895,1002
در,815,979,842,1000
بر,794,982,814,1002
خی,762,976,798,1002
دیگر,710,967,759,1002
