word,x1,y1,x2,y2
,1486,119,1603,153
,1497,124,1512,136
,1452,133,1475,161
,1376,122,1445,165
,1328,119,1380,153
,1339,124,1354,136
,1286,119,1317,152
,1234,129,1275,161
,1218,119,1227,152
,1178,130,1218,166
,1145,123,1168,161
,1095,126,1149,163
,1048,119,1084,152
,1002,124,1038,164
,958,119,1006,163
,924,133,947,161
,799,119,916,162
,810,124,825,136
,723,134,789,164
,693,116,726,152
,656,128,683,163
,577,119,646,161
,541,132,580,153
,552,124,567,136
,500,119,531,161
,398,116,504,163
,409,124,424,136
,361,128,387,163
,276,132,351,164
,241,132,280,153
,252,124,267,136
,151,115,232,167
,100,129,140,161
,1594,244,1603,277
,1555,255,1595,291
,1504,254,1545,286
,1433,246,1497,289
,1367,244,1437,281
,1299,244,1357,289
,1294,244,1303,277
,1253,259,1294,291
,1172,247,1244,277
,1080,244,1162,278
,1101,249,1116,261
,1030,244,1072,278
,970,249,1030,288
,922,259,959,289
,888,254,925,299
,832,240,880,289
,785,244,835,281
,752,258,775,286
,677,244,746,286
,629,254,670,286
,521,243,622,291
,492,244,513,288
,405,244,482,286
,369,253,396,288
,350,244,359,277
,284,236,350,288
,191,247,275,291
,102,249,182,278
,1562,369,1603,411
,1521,369,1551,411
,1396,369,1513,412
,1407,374,1422,386
,1344,379,1384,411
,1289,365,1338,414
,1242,369,1293,406
,1208,383,1231,411
,1131,369,1200,411
,1009,368,1124,416
,913,372,998,403
,847,369,902,413
,790,365,838,414
,765,379,793,403
,619,361,754,405
,630,374,645,386
,577,369,608,411
,495,366,581,416
,461,383,484,411
,368,369,453,414
,322,369,372,416
,270,379,311,411
,197,371,262,414
,151,364,203,403
,102,364,140,402
,1582,487,1605,527
,1546,494,1586,538
,1490,490,1538,539
,1443,494,1493,531
,1406,503,1433,538
,1360,494,1396,539
,1325,507,1364,528
,1336,499,1351,511
,1264,498,1314,539
,1248,504,1267,527
,1177,494,1239,541
,1094,494,1166,528
,1105,499,1120,511
,1061,508,1084,536
,973,498,1054,539
,896,493,963,541
,815,494,885,538
,826,499,841,511
,782,508,805,536
,710,487,777,541
,631,504,699,541
,554,493,621,541
,482,504,544,539
,462,494,485,527
,411,504,452,536
,339,496,404,539
,280,494,343,536
,242,494,271,536
,190,505,243,541
,102,494,181,536
,1491,608,1606,663
,1455,619,1481,652
,1400,619,1455,656
,1367,633,1390,661
,1271,619,1360,663
,1253,612,1276,652
,1218,619,1256,663
,1146,618,1208,666
,1113,634,1136,661
,1072,619,1117,675
,945,619,1061,662
,956,624,971,636
,860,619,934,674
,787,621,850,652
,757,619,777,663
,652,611,747,667
,603,634,642,664
,553,619,607,660
,462,619,543,653
,482,624,497,636
,400,629,452,661
,335,619,390,663
,278,615,327,664
,253,629,282,653
,170,624,243,661
,155,629,174,652
,125,629,137,645
,100,619,120,652
,1580,744,1603,777
,1543,744,1566,777
,1523,744,1543,777
,1471,754,1512,786
,1419,749,1475,780
,1369,759,1406,789
,1317,740,1372,789
,1286,737,1309,777
,1231,748,1289,789
,1181,746,1235,791
,1121,740,1169,789
,1074,744,1124,781
,1020,754,1060,786
,923,741,1009,788
,868,758,911,786
,826,744,873,777
,785,759,827,791
,749,758,772,786
,701,744,739,777
,649,746,701,788
,571,746,636,789
,538,758,561,786
,445,747,529,791
,369,744,432,786
,246,743,356,780
,169,746,233,789
,103,744,173,781
,1556,865,1605,914
,1510,869,1560,906
,1476,883,1499,911
,1400,869,1469,911
,1358,869,1392,914
,1331,869,1361,911
,1245,869,1322,911
,1211,883,1234,911
,1173,869,1203,911
,1120,866,1165,914
,1062,869,1124,913
,1073,874,1088,886
,957,878,1051,925
,915,869,946,911
,833,866,919,916
,792,884,823,914
,755,869,796,911
,655,869,745,911
,624,862,647,902
,568,873,626,914
,529,870,572,916
,413,869,518,911
,317,883,402,914
,302,883,321,924
,203,874,291,902
,151,866,193,902
,99,879,140,911
,1594,994,1603,1027
,1555,1005,1595,1041
,1460,998,1543,1039
,1413,1007,1464,1041
,1318,983,1404,1038
,1224,999,1307,1036
,1186,994,1213,1027
,1144,994,1175,1036
,1068,994,1136,1036
,1032,1007,1071,1028
,1043,999,1058,1011
,990,994,1021,1036
,888,991,994,1038
,899,999,914,1011
,851,1003,878,1038
,804,994,840,1039
,768,1007,807,1028
,779,999,794,1011
,707,998,757,1039
,691,1004,710,1027
,618,994,681,1041
,525,994,607,1028
,546,999,561,1011
,425,994,515,1040
,340,994,429,1041
,238,983,330,1028
,258,999,273,1011
,196,1009,228,1039
,102,994,188,1041
,1568,1124,1603,1164
