id,label
0,1.8
1,درصد
2,از
3,خانوارهای
4,خراسان
5,شمالی
6,مشمول
7,دریافت
8,سبد
9,معیشتی
10,شدند.
11,نوری
12,در
13,نشست
14,با
15,اصناف
16,خراسان
17,شمالی
18,که
19,در
20,ارتباط
21,با
22,شیوع
23,ویروس
24,کرونا
25,در
26,2
27,فروردین
28,در
29,محل
30,استانداری
31,بر
32,گزار
33,شد،
34,اظهار
35,کرد:
36,از
37,یک
38,میلیون
39,خانوار
40,موجود
41,در
42,کشور
43,که
44,بسته
45,2
46,تا
47,60
48,هزار
49,تومانی
50,مشمول
51,آن
52,ها
53,شدند،
54,16
55,هزار
56,و
57,80
58,خانوار
59,متعلق
60,به
61,خراسان
62,شمالی
63,بوده
64,است.
65,وی
66,در
67,ارتباط
68,با
69,بیمه
70,بیکاری
71,نیز
72,بیان
73,کرد:
74,در
75,کشور
76,32
77,هزار
78,نفر
79,برای
80,دریافت
81,بیمه
82,بیکاری
83,در
84,زمان
85,شیوع
86,ویروس
87,کرونا
88,ثبت
89,نام
90,کرده
91,بودند
92,که
93,از
94,این
95,تعداد
96,سه
97,هزار
98,و
99,20
100,نفر
101,اهل
102,خراسان
103,شمالی
104,بوده
105,و
106,تاکنون
107,اطلاعات
108,اولیه
109,دو
110,هزار
111,و
112,30
113,نفر
114,تایید
115,شده
116,است.
117,نوری
118,افزود:
119,متاسفانه
120,در
121,حوزه
122,اصناف
123,تعدادی
124,از
125,کار
126,گران،
127,بیمه
128,نیستند
129,و
130,مشمول
131,قانون
132,تامین
133,اجتماعی
134,نمی
135,شوند،
136,اما
137,هر
138,صنفی
139,که
140,کارگر
141,بیمه
142,شده
143,داشته
144,باشد
145,برای
146,پرداخت
147,بیمه
148,بیکاری
149,مورد
150,پذیرش
151,قرار
152,می
153,گیرد.
154,وی
155,ادامه
156,داد:
157,علاوه
158,بر
159,آن
160,اعلام
161,شده
162,که
163,حق
164,بیمه
165,اسفند،
166,فروردین
167,و
168,اردیبهشت
169,نیاز
170,به
171,پرداخت
172,نیست
173,و
174,کارفرما
175,می
176,تواند
177,این
178,حق
179,بیمه
180,را
181,تا
182,پایان
183,سال
184,پرداخت
185,کند.
186,1
187,طرح
188,تعاونی
189,در
190,اردبیل
191,افتتاح
192,شد/
193,راه
194,اندازی
195,شر
196,کت
197,تعاونی
198,پوشاک
199,عرفان
200,در
201,رضی
202,در
203,این
204,مراسم
205,که
206,9
207,1
208,شهریور
209,با
210,حضور
211,معاون
212,اول
213,رئیس
214,جمهور
215,و
216,مسئولان
217,کشوری
218,و
219,استانی
220,در
221,ناحیه
222,صنعتی
223,رضی
224,و
225,مجتمع
226,پوشاک
227,عرفان
228,بر
229,گزار
230,شد،
231,مدیر
232,کل
233,تعاون،
234,کار
235,و
236,رفاه
237,اجتماعی
238,استان
239,اردبیل
240,اظهار
241,کرد:
242,امروز
243,و
244,همزمان
245,با
246,هفته
247,تعاون
248,1
249,طرح
250,تعاونی
251,به
252,ارزش
253,280
254,میلیارد
255,تومان
256,در
257,اردبیل
258,به
259,بهره
260,برداری
261,می
262,رسد.
263,قاسم
264,رحیمی
265,خاطرنشان
266,کرد:
267,راه
268,اندازی
269,این
270,طرح
271,ها
272,و
273,شر
274,کت
275,های
276,تعاونی
277,زمینه
278,اشتغال
279,377
280,نفر
281,فراهم
282,آمده
283,تا
284,این
285,مجموعه
286,ها
287,فعالیت
288,های
289,خود
290,را
291,آغاز
292,کنند.
293,وی
294,ادامه
295,داد:
296,این
297,مراسم
298,به
299,صورت
300,ملی
301,و
302,با
303,حضور
304,معاون
305,اول
306,رئیس
307,جمهور
308,و
309,وزیر
310,تعاون،
311,کار
312,و
313,رفاه
314,اجتماعی
315,بر
316,گزار
317,می
318,شود
319,تا
320,شاهد
321,افتتاح
322,و
323,بهره
324,برداری
325,از
326,مجموعه
327,های
328,تولیدی
329,در
330,بخش
331,تعاون
332,باشیم.
333,مدیر
334,کل
335,تعاون،
336,کار
337,و
338,رفاه
339,اجتماعی
340,استان
341,اردبیل
342,بخش
343,تعاون
344,را
345,یکی
346,از
347,مهمترین
348,بخش
349,های
350,اقتصادی
351,کشور
352,برشمرد
353,و
354,گفت:
355,در
356,کنار
357,بخش
358,دولتی
359,خصوصی
360,بخش
361,تعاون
362,مورد
363,حمایت
364,جدی
365,دولت
366,قرار
367,گرفته
368,و
369,در
370,سال
371,های
372,اخیر
373,تلاش
374,بر
375,این
376,بوده
377,تا
378,مجموعه
379,های
380,تعاونی
381,در
382,نقاط
383,مختلف
384,استان
385,و
386,در
387,رسته
388,های
389,مختلف
390,فعالیت
391,خود
392,را
393,آغاز
394,کنند.
395,وی
396,به
397,بهره
398,برداری
399,فاز
400,اول
401,شر
402,کت
403,تعاونی
404,پوشاک
405,عرفان
406,ارشق
407,در
408,ناحیه
409,صنعتی
410,رضی
411,اشاره
412,کرد
413,و
414,افزود:
415,این
416,مجموعه
417,در
418,بخش
419,صنعتی
420,و
421,در
422,رسته
423,تولید
424,پوشاک
425,فعالیت
426,می
427,کنند
428,و
429,از
430,محل
431,اشتغال
432,روستایی
433,و
434,عشایری
435,بیش
436,از
437,40
438,هزار
439,میلیارد
440,ریال
441,تسهیلات
442,به
443,این
444,مجموعه
445,پرداخت
446,شده
447,است.
448,رحیمی
449,بیان
450,کرد:
451,کل
452,سرمایه
453,گذاری
454,انجام
455,شده
456,در
457,این
458,مجموعه
459,تعاونی
460,که
461,به
462,صورت
463,نمادین
464,افتتاح
465,می
466,شود،
467,140
468,هزار
469,میلیارد
470,ریال
471,است
472,که
473,فرصت
474,اشتغال
475,150
476,نفر
477,در
478,فاز
479,اول
480,و
481,در
482,ناحیه
483,صنعتی
484,شهید
485,همرنگ
486,رضی
487,در
488,قالب
489,این
490,مجموعه
491,تعاونی
492,فراهم
493,آمده
494,است.
495,1
496,پروژه
497,پژوهشی
498,تقاضا
499,محور
500,داریم/
501,این
502,میزان
503,کافی
504,نیست
505,دکتر
506,فرزاد
507,ویسی
508,در
509,نشستی
510,خبری
511,که
512,امروز
513,9)
514,1
515,آذر(
516,در
517,آستانه
518,هفته
519,پژوهش
520,بر
521,گزار
522,شد،
523,پژوهش
524,و
525,فناوری
526,را
527,اساس
528,توسعه
529,و
530,معیاری
531,برای
532,توسعه
533,یافتگی
534,هر
535,کشور
536,دانست
537,و
538,اظهار
539,کرد:
540,امروزه
541,برخلاف
542,گذشته
543,میزان
544,اقتدار
545,هر
546,کشور
547,بستگی
548,به
549,میزان
550,تولیدات
551,علمی
552,و
553,پژوهشی
554,است
555,که
556,در
557,آن
558,کشور
559,انجام
560,می
561,گیرد.
562,وی
563,با
564,اشاره
565,به
566,نامگذاری
567,هفته
568,پژوهش
569,امسال
570,به
571,عنوان
572,پژوهش
573,و
574,فناوری
575,در
576,خدمت
577,جهش
578,تولید،
579,گفت:
580,قطعا
581,جهش
582,تولید
583,بدون
584,انجام
585,پژوهش
586,و
587,فناوری
588,امکانپذیر
589,نیست
590,و
591,این
592,بستر
593,در
594,کشور
595,و
596,استان
597,ما
598,باتوجه
599,به
600,حجم
601,قابل
602,توجه
603,تولیدات
604,علمی
605,و
606,پژوهشی
607,کاملا
608,فراهم
609,است.
610,معاون
611,پژوهشی
612,دانشگاه
613,رازی
614,اعلام
615,کرد:
616,براساس
617,معیارهای
618,جهانی
619,رتبه
620,بندی،
621,ایران
622,از
623,نظر
624,پژوهش
625,و
626,تولید
627,علمی
628,در
629,رتبه
630,های
631,14
632,تا
633,16
634,جهانی
635,قرار
636,دارد
637,که
638,جایگاهی
639,افتخارآمیز
640,است،
641,اما
642,متاسفانه
643,از
644,سوی
645,دیگر
646,می
647,بینیم
648,که
649,علیرغم
650,آمار
651,بالای
652,پژوهش
653,و
654,تولید
655,علمی
656,در
657,بر
658,خی
659,دیگر
660,از
661,شاخص
662,ها
663,همچون
664,توسعه
665,اقتصادی،
666,فضای
667,کسب
668,و
669,کار
670,و
671,اشتغال
672,و...
673,جایگاه
674,خوبی
675,نداریم.
676,وی
677,اضافه
678,کرد:
679,به
680,نظر
681,می
682,رسد
683,با
684,وجود
685,این
686,توانایی
687,های
688,علمی
689,و
690,پژوهشی
691,به
692,اندازه
693,کافی
694,آنها
695,را
696,در
697,حل
698,مشکلات
699,و
700,توسعه
701,اقتصاد
702,کشور
703,و
704,به
705,تبع
706,استان
707,خود
708,بکار
709,نگرفته
710,ایم.
711,ویسی
712,اعلام
713,کرد:
714,البته
715,در
716,گذشته
717,بخشی
718,از
719,پژوهش
720,هایی
721,که
722,در
723,دانشگاه
724,ها
725,شکل
726,می
727,گرفت
728,کاربردی،
729,هدفمند
730,و
731,تقاضا
732,محور
733,نبود
734,که
735,به
736,تدریج
737,چنین
738,ادبیاتی
739,در
740,دانشگاه
741,ها
742,رایج
743,شد
744,تا
745,پژوهش
746,ها
747,رافع
748,مشکلات
749,استان
750,شوند.
751,وی
752,اعلام
753,کرد:
754,هرچند
755,آموزش
756,عالی
757,درحال
758,سوق
759,یافتن
760,به
761,سمتی
762,است
763,که
764,پژوهش
765,هایش
766,را
767,در
768,جهت
769,رفع
770,مشکلات
771,استان
772,حر
773,کت
774,دهد،
775,اما
776,از
777,سوی
778,دیگر
779,دستگاه
780,های
781,اجرایی
782,هم
783,باید
784,تقاضاهای
785,خود
786,را
787,به
788,دانشگاه
789,ها
790,اعلام
791,کنند.
792,یعنی
793,همانطوری
794,که
795,دانشگاه
796,آماده
797,عرضه
798,است،
799,تقاضا
800,هم
801,باید
802,برای
803,این
804,عرضه
805,وجود
806,داشته
807,باشد
808,تا
809,نتایج
810,مثمرثمری
811,را
812,از
813,آن
814,ببینیم.
815,معاون
816,پژوهش
817,و
818,فناوری
819,دانشگاه
820,رازی
821,به
822,وضعیت
823,این
824,دانشگاه
825,هم
826,در
827,عرصه
828,پژوهش
829,و
830,تولیدات
831,علمی
832,اشاره
833,کرد
834,و
835,گفت:
836,در
837,حال
838,حاضر
839,دانشگاه
840,رازی
841,بین
842,دانشگاه
843,های
844,جامع
845,کشور
846,در
847,رتبه
848,دهم
849,و
850,یازدهم
851,قرار
852,دارد
853,که
854,حاکی
855,از
856,عملکرد
857,خوب
858,این
859,دانشگاه
860,در
861,حوزه
862,پژوهش
863,است،
864,اما
865,از
866,دیگر
867,سو
868,می
869,بینیم
870,که
871,استان
872,ما
873,در
874,شاخص
875,هایی
876,مانند
877,توسعه،
878,اشتغال
879,و
880,...
881,وضعیت
882,خوبی
883,ندارد
884,که
885,نشان
886,می
887,دهد
888,دستگاه
889,های
890,اجرایی
891,هنوز
892,به
893,این
894,اعتقاد
895,و
896,باور
897,نرسیده
898,اند
899,که
900,برای
901,رفع
902,مشکلات
903,باید
904,مدیریت
905,علمی
906,داشته
907,باشند
908,و
909,از
910,دانشگاه
911,ها
912,کمک
913,بخواهند.
914,وی
915,یادآور
916,شد:
917,با
918,وجود
919,اینکه
920,در
921,حال
922,حاضر
923,دانشگاه
924,رازی
925,حدود
926,1
927,قرارداد
928,پژوهشی
929,بادستگاه
930,های
931,اجرایی
932,مختلف
933,دارد،
934,اما
935,معتقدیم
936,این
937,آمار
938,ضعیف
939,است
940,و
941,باید
942,افزایش
943,پیدا
944,کند.
945,ویسی
946,کمبود
947,اعتبارات
948,پژوهشی
949,را
950,از
951,علل
952,مهم
953,کم
954,توجهی
955,به
956,پژوهش
957,ها
958,و
959,تولیدات
960,علمی
961,دانست
962,و
963,افزود:
964,در
965,کشورهای
966,پیشرفته
967,حدود
968,دو
969,تا
970,چهار
971,درصد
972,از
973,درآمد
974,ناخالص
975,کشور
976,را
977,به
978,پژوهش
979,اختصاص
980,می
981,دهند،
982,این
983,در
984,حالی
985,است
986,که
987,این
988,رقم
989,در
990,کشور
991,ما
992,حدود
993,نیم
994,درصد
995,است
996,و
997,این
998,نیم
999,درصد
1000,هم
1001,بیشتر
1002,بصورت
1003,ملی
1004,صرف
1005,می
1006,شود
1007,و
1008,سهم
1009,دانشگاه
1010,های
1011,شهرستانی
1012,از
1013,آن
1014,بسیار
1015,محدود
1016,است.
1017,معاون
1018,پژوهش
1019,و
1020,فناوری
1021,دانشگاه
1022,رازی
1023,کرمانشاه
1024,در
1025,ادامه
1026,با
1027,بیان
1028,اینکه
1029,طی
1030,پنج
1031,سال
1032,گذشته
1033,پنج
1034,هزار
1035,پایانه
1036,در
1037,این
1038,دانشگاه
1039,تولید
1040,شده،
1041,اعلام
1042,کرد:
1043,تنها
1044,1
1045,درصد
1046,از
1047,این
1048,پایان
1049,نامه
1050,ها
1051,به
1052,مسائل
1053,مربوط
1054,به
1055,استان
1056,پرداخته
1057,که
1058,البته
1059,تا
1060,حدودی
1061,طبیعی
1062,است،
1063,چرا
1064,که
1065,دانشگاه
1066,ها
1067,کار
1068,کردی
1069,ملی
1070,و
1071,حتی
1072,فراملی
1073,هم
1074,دارند
1075,و
1076,به
1077,همه
