id,label
0,.8
1,1
2,درصد
3,از
4,خانوارهای
5,خراسان
6,شمالی
7,مشمول
8,دریافت
9,سبد
10,معیشتی
11,شدند.
12,نوری
13,در
14,نشست
15,با
16,اصناف
17,خراسان
18,شمالی
19,که
20,در
21,ارتباط
22,با
23,شیوع
24,ویروس
25,کرونا
26,در
27,2
28,فروردین
29,در
30,محل
31,استانداری
32,بر
33,گزار
34,شد،
35,اظهار
36,کرد:
37,از
38,یک
39,میلیون
40,خانوار
41,مو
42,جود
43,در
44,کشور
45,که
46,بسته
47,20
48,تا
49,60
50,هزار
51,تومانی
52,مشمول
53,آن
54,ها
55,شدند،
56,16
57,هزار
58,و
59,80 خانوار
60,متعلق
61,به
62,خراسان
63,شمالی
64,بوده
65,است.
66,وی
67,در
68,ارتباط
69,با
70,بیمه
71,بیکاری
72,نیز
73,بیان
74,کرد:
75,در
76,کشور
77,32
78,هزار
79,نفر
80,برای
81,دریافت
82,بیمه
83,بیکاری
84,در
85,زمان
86,شیوع
87,ویروس
88,کرونا
89,ثبت
90,نام
91,کرده
92,بودند
93,که
94,از
95,این
96,تعداد
97,سه
98,هزار
99,و
100,20
101,نفر
102,اهل
103,خراسان
104,شمالی
105,بوده
106,و
107,تاکنون
108,اطلاعات
109,اولیه
110,دو
111,هزار
112,و
113,'30 نفر
114,تایید
115,شده
116,است.
117,نوری
118,افزود:
119,متاسفانه
120,در
121,حوزه
122,اصناف
123,تعدادی
124,از
125,کار
126,گران،
127,بیمه
128,نیستند
129,و
130,مشمول
131,قانون
132,تامین
133,اجتماعی
134,نمی
135,شوند،
136,اما
137,هر
138,صنفی
139,که
140,کار
141,گر
142,بیمه
143,شده
144,داشته
145,باشد
146,برای
147,پرداخت
148,بیمه
149,بیکاری
150,مورد
151,پذیرش
152,قرار
153,می
154,گیرد.
155,وی
156,ادامه
157,داد:
158,علاوه
159,بر
160,آن
161,اعلام
162,شده
163,که
164,حق
165,بیمه
166,اسفند،
167,فروردین
168,و
169,اردیبهشت
170,نیاز
171,به
172,پرداخت
173,نیست
174,و
175,کارفرما
176,می
177,تواند
178,این
179,حق
180,بیمه
181,را
182,تا
183,پایان
184,سال
185,پرداخت
186,کند.
187,1
188,طرح
189,تعاونی
190,در
191,اردبیل
192,افتتاح
193,شد/راه
194,اندازی
195,شر
196,کت
197,تعاونی
198,پوشاک
199,عرفان
200,در
201,رضی
202,در
203,این
204,مراسم
205,که
206,19
207,شهریور
208,با
209,حضور
210,معاون
211,اول
212,رئیس
213,جمهور
214,و
215,مسئولان
216,کشوری
217,و
218,استانی
219,در
220,ناحیه
221,صنعتی
222,رضی
223,و
224,مجتمع
225,پوشاک
226,عرفان
227,بر
228,گزار
229,شد،
230,مدیر
231,کل
232,تعاون،
233,کار
234,و
235,رفاه
236,اجتماعی
237,استان
238,اردبیل
239,اظهار
240,کرد:
241,امروز
242,و
243,همزمان
244,با
245,هفته
246,تعاون
247,1
248,طرح
249,تعاونی
250,به
251,ارزش
252,280
253,میلیارد
254,تومان
255,در
256,اردبیل
257,به
258,بهره
259,برداری
260,می
261,رسد.
262,قاسم
263,رحیمی
264,خاطرنشان
265,کرد:
266,راه
267,اندازی
268,این
269,طرح
270,ها
271,و شر
272,کت
273,های
274,تعاونی
275,زمینه
276,اشتغال
277,'377 نفر فراهم
278,آمده
279,تا
280,این
281,مجموعه
282,ها
283,فعالیت
284,های
285,خود
286,را آغاز
287,کنند.
288,وی
289,ادامه
290,داد:
291,این
292,مراسم
293,به
294,صورت
295,ملی
296,و
297,با
298,حضور
299,معاون
300,اول
301,رئیس
302,جمهور
303,و
304,وزیر
305,تعاون،
306,کار
307,و
308,رفاه
309,اجتماعی
310,بر
311,گزار
312,می
313,شود
314,تا
315,شاهد
316,افتتاح
317,و بهره
318,برداری
319,از مجموعه
320,های
321,تولیدی
322,در بخش
323,تعاون
324,باشیم.
325,مدیر
326,کل
327,تعاون،
328,کار
329,و رفاه
330,اجتماعی
331,استان
332,اردبیل
333,بخش
334,تعاون
335,را
336,یکی
337,از
338,مهمترین
339,بخش
340,های
341,اقتصادی
342,کشور
343,برشمرد
344,و
345,گفت:
346,در
347,کنار
348,بخش
349,دولتی
350,خصوصی
351,بخش
352,تعاون
353,مورد
354,حمایت
355,جدی
356,دولت
357,قرار
358,گرفته
359,و در
360,سال
361,های
362,اخیر
363,تلاش
364,بر
365,این
366,بوده
367,تا
368,مجموعه
369,های
370,تعاونی
371,در
372,نقاط
373,مختلف
374,استان
375,و
376,در
377,رسته
378,های
379,مختلف
380,فعالیت
381,خود
382,را
383,آغاز
384,کنند.
385,وی
386,به
387,بهره
388,برداری
389,فاز
390,اول
391,شر
392,کت
393,تعاونی
394,پوشاک
395,عرفان
396,ارشق
397,در
398,ناحیه
399,صنعتی
400,رضی
401,اشاره
402,کرد
403,و
404,افزود:
405,این
406,مجموعه
407,در بخش
408,صنعتی
409,و
410,در رسته
411,تولید
412,پوشاک
413,فعالیت
414,می
415,کنند
416,و
417,از
418,محل
419,اشتغال
