word,x1,y1,x2,y2
...,926,76,944,84
وضعیت,853,65,924,91
خوبی,797,64,850,92
ندارد,746,62,794,91
که,716,62,744,84
نشان,665,62,714,91
می,630,72,662,92
دهد,587,68,628,84
دستگاه,517,62,584,84
های,473,62,514,90
اجرایی,406,62,470,92
هنوز,357,68,404,91
به,335,68,356,89
این,299,62,332,91
اعتقاد,241,62,296,84
و,223,72,238,91
باور,186,62,222,91
نرسیده,118,66,185,91
اند,88,62,115,84
که,58,62,86,84
برای,902,122,945,152
رفع,862,123,898,152
مشکلات,779,123,858,146
باید,739,123,775,150
مدیریت,662,128,735,152
علمی,606,123,658,152
داشته,547,123,603,145
باشند,490,123,543,150
و,473,132,486,152
از,451,123,469,152
دانشگاه,378,122,448,145
ها,352,123,375,145
کمک,296,123,350,145
بخواهند.,213,123,292,152
وی,177,131,209,152
یادآور,118,120,173,152
شد:,77,125,115,145
با,58,123,74,150
وجود,894,189,945,212
اینکه,840,183,889,210
در,810,189,835,212
حال,773,183,814,212
حاضر,713,183,768,212
دانشگاه,640,183,710,205
رازی,589,183,635,212
حدود,530,189,584,212
1,483,184,494,206
قرارداد,413,183,476,212
پژوهشی,329,187,407,213
بادستگاه,245,183,324,210
های,199,183,240,211
اجرایی,130,183,193,213
مختلف,58,183,124,206
دارد،,899,244,944,273
اما,870,244,895,266
معتقدیم,789,246,867,273
این,752,244,785,273
آمار,711,241,748,273
ضعیف,647,246,708,271
است,598,244,643,266
و,580,253,594,273
باید,542,244,577,271
افزایش,473,244,538,273
پیدا,431,244,468,273
کند.,384,244,428,266
ویسی,326,253,381,273
کمبود,263,244,322,273
اعتبارات,182,244,259,273
پژوهشی,101,248,178,273
را,79,244,97,273
از,58,244,76,273
علل,906,305,944,333
مهم,863,312,902,334
کم,829,305,859,334
توجهی,760,308,826,334
به,735,310,756,331
پژوهش,661,308,731,334
ها,635,305,658,326
و,617,314,631,333
تولیدات,541,304,614,333
علمی,484,305,537,334
دانست,418,304,481,327
و,400,314,414,333
افزود:,345,304,397,333
در,316,310,341,333
کشورهای,224,305,314,333
پیشرفته,144,305,219,334
حدود,86,310,140,333
دو,58,310,83,333
تا,927,365,944,387
چهار,878,365,924,394
درصد,821,371,875,394
از,799,365,818,394
درآمد,743,362,798,394
ناخالص,669,365,740,394
کشور,613,365,667,394
را,594,365,611,394
به,570,371,591,392
پژوهش,497,369,567,394
اختصاص,410,365,494,394
می,376,374,407,395
دهند،,317,371,373,387
این,282,365,314,394
در,253,371,279,394
حالی,210,365,258,395
است,162,365,207,387
که,132,365,160,387
این,96,365,129,394
رقم,58,366,94,394
در,919,432,944,455
کشور,862,426,916,455
ما,837,426,858,448
حدود,779,432,832,455
نیم,742,430,774,456
درصد,682,432,736,455
است,632,426,676,448
و,612,436,627,455
این,575,426,608,455
نیم,537,430,570,455
درصد,477,432,532,455
هم,442,432,472,456
بیشتر,381,430,437,455
بصورت,310,431,377,455
ملی,266,426,305,456
صرف,210,427,261,455
می,173,436,205,456
شود,127,428,168,455
و,108,436,122,455
سهم,58,434,103,455
دانشگاه,875,486,945,509
های,830,487,872,514
شهرستانی,732,487,827,516
از,710,486,728,515
آن,680,484,708,516
بسیار,626,487,677,515
محدود,559,492,623,515
است.,506,486,555,509
معاون,889,559,944,588
پژوهش,815,563,885,588
و,798,569,812,588
فناوری,730,559,795,588
دانشگاه,657,559,727,581
رازی,608,559,654,588
کرمانشاه,525,559,605,588
در,496,565,521,588
ادامه,448,559,493,581
با,429,559,445,586
بیان,385,559,426,588
اینکه,333,559,382,586
طی,293,559,330,589
پنج,254,565,289,589
سال,209,559,250,588
گذشته,141,559,206,581
پنج,102,565,137,589
هزار,57,559,98,588
پایانه,897,620,944,649
در,867,626,892,649
این,831,620,864,649
دانشگاه,756,620,826,642
تولید,703,620,752,649
شده،,650,623,698,642
اعلام,599,620,646,650
کرد:,553,620,595,649
تنها,511,620,549,649
1,477,621,488,643
درصد,416,626,471,649
از,393,620,412,649
این,356,620,389,649
پایان,305,620,352,649
نامه,263,620,301,642
ها,237,621,259,642
به,212,626,232,647
مسائل,147,621,207,649
مربوط,84,620,143,649
به,59,626,79,647
استان,890,681,945,710
پرداخته,813,681,886,710
که,783,681,811,703
البته,736,680,779,708
تا,716,681,732,703
حدودی,640,687,712,710
طبیعی,572,681,637,710
است،,517,680,568,703
چرا,480,680,514,710
که,449,681,477,703
دانشگاه,377,680,446,703
ها,351,681,374,703
کار,316,681,348,710
کردی,264,681,321,710
ملی,223,681,261,710
و,206,690,219,710
حتی,156,686,203,710
فراملی,92,681,153,710
هم,58,687,88,710
دارند,897,741,944,770
و,880,751,894,770
به,857,747,878,768
همه,814,747,855,764
مسائل,752,741,811,770
توجه,701,745,749,770
می,666,751,698,771
کنند.,612,742,664,763
1,593,742,605,764
1,580,742,591,764
دکل,532,741,575,770
مخابراتی,447,741,528,771
در,419,747,445,770
شهرستان,330,742,418,770
های,286,741,327,769
کرمان,224,741,284,770
و,208,751,222,770
راور,169,741,206,770
عملیاتی,92,741,167,771
می,58,751,90,771
شوند,896,804,944,831
به,872,808,893,829
گزارش,803,802,869,831
ایسنا،,747,802,800,829
سئوال,684,802,743,831
دکتر,633,802,681,831
پورابراهیمی,524,802,631,831
نماینده,453,802,520,829
مردم,403,808,450,831
کرمان,340,802,400,831
و,323,811,337,831
