word,x1,y1,x2,y2
,883,62,944,91
,852,60,878,91
,830,62,847,91
,763,62,826,92
,727,72,758,92
,678,62,731,92
,642,70,674,91
,590,62,637,92
,544,63,586,91
,514,68,540,91
,459,64,512,91
,396,66,455,89
,362,69,392,92
,342,62,358,89
,267,62,338,92
,195,62,263,91
,137,63,191,91
,119,72,134,91
,59,68,116,91
,909,123,945,152
,854,125,907,152
,808,123,851,152
,732,123,806,152
,705,129,730,152
,667,123,704,152
,611,122,666,152
,566,125,608,145
,547,123,564,145
,517,120,544,152
,497,122,514,152
,431,123,495,152
,376,123,429,152
,341,131,373,152
,313,129,338,152
,266,123,312,145
,173,123,263,152
,99,126,170,152
,58,123,96,152
,930,193,944,212
,852,183,927,212
,787,185,847,213
,763,183,782,212
,696,184,760,210
,650,183,691,211
,612,183,645,212
,554,185,607,212
,529,189,550,210
,481,184,524,212
,443,183,485,205
,397,183,439,211
,340,185,393,212
,247,185,335,213
,187,184,242,212
,133,183,182,212
,114,195,129,212
,76,189,119,213
,58,193,72,212
,896,248,944,273
,873,250,894,271
,799,247,870,271
,711,244,795,273
,652,244,708,273
,633,244,648,271
,583,244,630,266
,522,244,581,273
,474,251,519,273
,408,244,471,273
,392,253,405,273
,289,244,389,273
,237,246,286,273
,184,244,235,273
,167,253,181,273
,147,257,166,266
,127,244,144,273
,105,244,124,273
,57,243,104,273
,883,304,944,333
,837,305,879,332
,765,305,833,333
,720,306,760,332
,665,304,715,327
,608,305,661,333
,579,310,604,333
,533,305,575,333
,472,305,526,327
,390,307,465,333
,355,305,381,327
,343,305,354,327
,289,306,336,327
,263,310,284,332
,191,305,259,333
,130,305,187,333
,58,305,125,333
,873,365,945,395
,790,365,871,394
,731,365,787,394
,659,367,728,395
,594,372,657,394
,536,367,591,394
,486,365,533,394
,457,371,483,394
,392,368,456,387
,374,365,390,392
,309,365,372,393
,249,365,307,392
,183,365,246,395
,134,365,180,387
,59,370,131,394
,879,426,945,455
,813,426,873,453
,754,428,807,455
,731,426,750,455
,653,426,727,456
,632,436,647,455
,551,426,628,455
,470,426,545,455
,410,426,464,456
,389,426,404,453
,337,426,383,448
,258,431,331,455
,205,426,253,455
,174,432,200,455
,114,426,169,455
,57,426,109,455
,884,486,945,509
,806,487,881,515
,749,487,803,516
,728,486,746,515
,667,486,726,514
,612,489,664,516
,544,487,610,515
,494,487,541,515
,466,493,491,515
,411,487,465,515
,395,496,409,515
,338,486,393,516
,266,487,335,509
,226,487,262,516
,192,487,225,515
,150,493,190,515
,120,487,147,509
,104,496,118,515
,58,487,101,516
,913,557,944,577
,873,553,908,576
,843,553,868,576
,778,547,838,576
,725,547,772,577
,693,547,720,569
,649,544,687,576
,567,547,645,576
,506,551,562,576
,460,549,501,569
,424,551,454,576
,367,547,421,570
,339,547,361,569
,319,557,334,576
,241,547,315,577
,194,549,235,576
,172,547,189,576
,123,547,166,576
,58,547,118,576
,879,608,945,637
,862,617,876,636
,809,614,860,636
,738,608,806,637
,690,608,736,630
,633,614,687,630
,598,615,630,636
,580,608,595,635
,526,610,577,637
,505,608,523,637
,437,608,502,637
,420,617,434,636
,344,607,418,637
,266,608,341,637
,203,608,263,637
,150,608,200,635
,105,608,148,637
,58,605,102,637
,917,668,945,690
,873,674,914,697
,813,668,869,697
,733,668,809,697
,676,668,729,698
,646,674,672,697
,597,668,643,697
,525,668,593,698
,506,668,521,695
,456,668,502,697
,339,668,454,697
,261,668,335,698
,242,668,257,695
,190,674,237,698
,160,674,186,697
,102,668,158,697
,76,668,98,690
,57,678,71,697
,879,729,944,758
,826,729,876,752
