word,x1,y1,x2,y2
...,924,76,945,85
وضعیت,848,65,921,90
خوبی,791,66,845,92
ندارد,739,63,788,89
که,708,61,736,84
نشان,661,63,705,87
می,629,71,658,92
دهد,585,67,625,84
دستگاه,517,57,582,84
های,473,63,513,89
اجرایی,405,63,470,92
هنوز,357,65,402,91
به,336,69,354,90
این,301,63,333,92
اعتقاد,244,63,297,84
و,225,71,241,90
باور,184,63,223,90
نرسیده,120,65,182,91
اند,90,63,117,84
که,59,61,88,84
برای,901,132,944,159
رفع,864,132,898,165
مشکلات,778,127,860,154
باید,739,132,774,159
مدیریت,662,135,735,159
علمی,607,131,658,160
داشته,554,132,604,152
باشند,502,132,550,159
و,482,139,498,158
از,460,132,480,158
دانشگاه,389,125,457,152
ها,364,132,385,152
کمک,300,127,360,153
بخواهند.,218,132,297,159
وی,181,137,215,158
یادآور,116,128,177,159
شد:,77,133,114,153
با,59,132,74,159
وجود,892,205,944,227
اینکه,840,195,887,227
درحال,774,199,835,226
حاضر,713,200,769,228
دانشگاه,640,193,709,221
رازی,587,200,636,226
حدود,527,203,582,226
1,482,200,493,221
قرارداد,413,200,477,228
پژوهشی,333,202,408,228
با,314,200,329,227
دستگاه,244,193,309,221
های,200,200,240,226
اجرایی,131,200,195,228
مختلف,59,199,126,223
دارد،,896,268,945,294
اما,869,268,893,289
معتقدیم,793,268,865,301
این,758,268,789,296
آمار,712,264,755,294
ضعیف,646,269,709,295
است,597,268,642,290
و,576,276,592,294
باید,539,268,575,295
افزایش,470,268,535,296
پیدا,431,268,466,296
کند.,384,266,429,289
ویسی,327,276,381,297
کمبود,265,266,324,295
اعتبارات,184,268,262,295
پژوهشی,105,270,180,297
را,82,268,101,294
از,58,268,78,294
علل,907,336,944,365
مهم,867,343,903,369
کم,832,334,864,369
تو,805,339,828,364
جهی,763,343,810,365
به,742,341,760,363
پژوهش,668,338,738,365
ها,644,336,665,357
و,625,344,641,362
تولیدات,548,335,623,364
علمی,494,336,545,365
دانست,430,336,491,358
و,411,344,427,362
افزود:,355,336,409,364
در,325,342,352,362
کشورهای,232,334,325,364
پیشرفته,165,336,229,364
حدود,107,339,161,362
دو,76,342,104,362
تا,59,336,75,357
چهار,896,404,944,432
درصد,836,407,894,430
از,812,404,833,430
درآمد,752,401,810,430
ناخالص,676,403,748,433
کشور,616,402,674,432
را,595,404,614,430
به,573,409,592,431
پژوهش,499,406,570,433
اختصاص,410,404,496,433
می,377,412,407,433
دهند،,321,407,374,426
این,286,404,317,433
درحالی,213,403,283,433
است,164,404,209,426
که,133,402,161,425
این,97,404,129,433
رقم,59,404,94,437
در,919,478,944,499
کشور,862,470,919,500
ما,843,473,861,493
حدود,786,476,841,499
نیم,756,474,785,506
درصد,697,476,754,499
است,650,472,696,494
و این,601,473,648,501
نیم,571,474,599,506
درصد,511,476,569,499
هم,482,478,510,506
بیشتر بصورت,359,474,480,500
ملی,321,472,357,501
صرف,263,473,320,500
می,231,480,261,501
شود,189,474,229,500
و,172,480,188,499
سهم,129,479,172,506
دانشگاه,59,466,128,493
های,904,541,944,566
شهرستانی,814,541,902,569
از,791,541,812,567
آن,762,537,791,564
بسیار,713,541,760,568
محدود,647,544,711,567
است.,593,541,644,562
معاون,891,621,944,647
پژوهش,819,623,889,649
و,801,629,817,647
فناوری,736,621,800,647
دانشگاه,665,615,734,642
رازی,614,621,663,647
کرمانشاه,534,619,613,649
در ادامه,462,621,532,647
با,445,621,460,648
بیان,408,621,443,648
اینکه,359,617,406,648
طی,323,619,357,650
پنج,288,625,322,653
سال,248,620,287,644
گذشته,184,615,247,642
پنج,148,625,182,653
هزار پایانه,59,621,147,649
در این,886,689,945,717
دانشگاه,816,683,885,710
تولید,767,688,814,717
شده،,717,690,764,710
اعلام,667,689,716,722
کرد:,621,687,666,717
تنها,586,689,619,715
1,557,689,568,710
درصد,497,692,554,715
از این,442,689,495,717
پایان,397,689,441,717
نامه,362,689,395,710
ها,338,689,359,710
به,318,695,336,716
مسائل,261,689,316,718
مربوط,201,688,259,717
به,180,695,199,716
استان,129,689,178,712
پرداخته,59,689,127,717
که,917,755,945,778
البته,877,756,913,784
تا,856,757,872,778
حدودی,779,760,852,783
طبیعی,718,756,774,786
است،,661,757,714,779
چرا,622,757,657,785
که,590,755,619,778
دانشگاه,517,751,586,778
ها,491,757,513,778
کار,451,755,488,783
کردی,397,755,457,785
ملی,357,757,392,786
و,337,765,353,783
حتی,291,762,333,786
فراملی,228,757,287,786
هم,194,763,223,790
دارند,142,757,190,783
و,121,765,137,783
به,100,762,119,784
همه,59,763,96,779
مسائل,889,825,944,854
تو,863,828,886,853
جه,839,831,867,851
می,806,833,835,854
کنند.,753,823,803,847
1,735,826,746,847
1,723,826,734,846
دکل,674,823,719,854
مخابراتی,590,825,670,854
در,560,831,587,851
شهرستان,478,825,558,853
های,436,825,475,851
کرمان,374,823,433,853
و,355,833,371,852
راور,310,825,353,852
عملیاتی,238,825,308,854
می,204,833,234,854
شوند,153,827,201,853
به,132,831,150,852
گزارش,59,820,129,854
ایسنا،,895,894,944,921
سئوال,839,893,893,921
دکتر,789,891,836,921
پورابراهیمی,682,894,788,922
نماینده,618,894,680,920
مردم,570,899,615,926
کرمان,510,891,569,921
و,491,901,507,920
