word,x1,y1,x2,y2
,930,64,941,84
,918,64,929,85
,880,63,910,91
,854,63,875,89
,791,62,848,92
,697,63,784,91
,640,63,690,90
,542,60,634,90
,482,64,535,92
,456,69,474,90
,403,62,449,92
,314,63,396,90
,256,63,307,92
,199,65,248,84
,131,67,190,89
,59,62,125,96
,852,130,944,160
,813,135,850,159
,720,131,810,160
,689,128,718,155
,637,132,687,165
,609,137,635,158
,552,132,607,165
,496,132,549,153
,427,126,495,158
,393,132,425,160
,326,130,390,159
,256,130,323,158
,214,128,254,155
,192,132,212,158
,129,125,190,160
,59,133,126,159
,928,207,944,226
,871,194,928,221
,784,200,869,227
,746,200,781,227
,729,200,743,227
,678,198,726,221
,637,194,675,223
,618,207,634,226
,554,193,617,227
,499,198,551,228
,469,198,497,221
,445,208,466,228
,418,202,444,228
,367,200,415,226
,312,202,364,227
,291,205,310,227
,226,200,289,227
,197,208,222,227
,160,205,202,227
,131,206,157,226
,76,200,130,225
,57,207,73,226
,890,268,945,294
,821,268,886,294
,754,268,818,297
,706,268,750,296
,653,268,703,289
,596,268,651,295
,551,274,593,294
,511,268,548,294
,491,276,507,294
,407,268,489,295
,385,268,404,294
,311,271,381,294
,246,271,308,296
,179,268,242,295
,159,276,175,294
,107,268,157,294
,59,274,104,301
,883,336,945,358
,865,344,881,362
,808,336,863,364
,758,338,806,363
,699,335,756,357
,680,344,696,362
,563,336,678,364
,467,336,560,365
,446,342,465,363
,397,335,443,365
,305,336,395,363
,254,334,303,365
,192,338,252,363
,149,332,189,363
,76,336,146,365
,57,344,73,362
,907,404,944,438
,870,404,905,431
,778,404,867,433
,729,410,776,432
,670,400,727,437
,626,403,668,433
,609,412,624,430
,544,404,607,430
,504,410,542,433
,483,404,502,430
,435,404,480,431
,417,412,433,430
,368,404,416,437
,322,399,372,432
,257,404,320,431
,207,404,254,431
,171,410,204,430
,154,405,169,431
,117,404,152,431
,83,404,115,433
,59,402,88,425
,913,476,944,499
,890,472,910,499
,840,474,889,505
,786,470,838,500
,720,473,784,500
,680,472,718,499
,631,471,678,506
,547,473,629,499
,528,480,544,499
,477,472,527,505
,930,553,944,580
,867,548,925,576
,796,546,862,580
,765,558,791,579
,707,553,762,578
,637,553,702,579
,567,553,633,581
,523,553,563,580
,466,553,519,574
,405,547,462,574
,319,553,401,580
,292,561,314,581
,235,553,297,580
,193,551,231,586
,122,552,188,581
,78,558,118,580
,58,560,74,579
,882,620,945,649
,839,620,880,643
,791,621,836,649
,774,621,789,648
,723,627,773,649
,699,629,721,649
,624,621,703,648
,604,626,622,648
,555,623,602,648
,496,624,553,648
,441,621,494,643
,419,621,439,647
,387,621,418,649
,358,629,385,647
,306,621,357,649
,268,617,305,648
,211,614,272,644
,143,621,209,649
,96,625,140,650
,59,621,94,648
,918,695,945,715
,884,689,916,717
,836,697,881,717
,819,689,834,716
,749,689,816,716
,710,689,745,722
,636,689,707,717
,599,689,633,722
,544,694,595,714
,494,692,541,717
,478,689,493,716
,424,687,474,716
,399,697,421,717
,319,690,398,717
,224,689,316,717
,139,689,221,716
,78,683,136,711
,59,689,75,710
,893,757,945,786
,863,755,891,778
,823,757,860,791
,783,763,820,786
,739,760,780,785
,717,757,736,783
,653,757,715,790
,607,753,651,778
,525,757,605,786
,496,763,523,783
,431,757,495,783
,367,757,429,790
,310,757,364,783
,277,765,308,785
,240,755,282,779
,195,757,238,785
,145,757,195,778
,94,757,143,784
,59,763,92,783
,930,826,944,852
,893,826,927,852
,858,825,890,854
,834,823,863,846
,764,825,831,852
,713,824,761,849
,671,824,711,853
,654,833,670,852
,607,831,652,858
,539,825,605,854
,454,825,536,851
